elos_name,source_name,image_key,status
'Pec Deck Machine','Butterfly',Butterfly,matched
'Seated Chest Press Machine','Leverage Chest Press',Leverage_Chest_Press,matched
'Incline Chest Press Machine','Leverage Incline Chest Press',Leverage_Incline_Chest_Press,matched
'Machine Shoulder Press','Machine Shoulder (Military) Press',Machine_Shoulder_Military_Press,matched
'Machine Preacher Curl','Machine Preacher Curls',Machine_Preacher_Curls,matched
'Dumbbell Lunges','Dumbbell Lunges',Dumbbell_Lunges,matched
'Incline Dumbbell Press','Incline Dumbbell Press',Incline_Dumbbell_Press,matched
'Cable Crunch','Cable Crunch',Cable_Crunch,matched
'Sit-Up','Sit-Up',Sit-Up,matched
'Leg Extension','Leg Extensions',Leg_Extensions,matched
'Plank','Plank',Plank,matched
'Zottman Curl','Zottman Curl',Zottman_Curl,matched
'Drag Curl','Drag Curl',Drag_Curl,matched
'Parallel Bar Dip','Parallel Bar Dip',Parallel_Bar_Dip,matched
'Incline Dumbbell Curl','Incline Dumbbell Curl',Incline_Dumbbell_Curl,matched
'Plate Pinch','Plate Pinch',Plate_Pinch,matched
'Goblet Squat','Goblet Squat',Goblet_Squat,matched
'Smith Machine Squat','Smith Machine Squat',Smith_Machine_Squat,matched
'Hanging Leg Raise','Hanging Leg Raise',Hanging_Leg_Raise,matched
'Farmer''s Walk','Farmer''s Walk',Farmers_Walk,matched
'Lying Leg Curl','Lying Leg Curls',Lying_Leg_Curls,matched
'Glute-Ham Raise','Glute Ham Raise',Glute_Ham_Raise,matched
'Seated Calf Raise','Seated Calf Raise',Seated_Calf_Raise,matched
'Power Snatch','Power Snatch',Power_Snatch,matched
'Cable Rear Delt Fly','Cable Rear Delt Fly',Cable_Rear_Delt_Fly,matched
'Floor Press','Floor Press',Floor_Press,matched
'Dead Bug','Dead Bug',Dead_Bug,matched
'Pallof Press','Pallof Press',Pallof_Press,matched
'Incline Push-Up','Incline Push-Up',Incline_Push-Up,matched
'Cable Hip Adduction','Cable Hip Adduction',Cable_Hip_Adduction,matched
'Cable Seated Crunch','Cable Seated Crunch',Cable_Seated_Crunch,matched
'Barbell Lunge','Barbell Lunge',Barbell_Lunge,matched
'Reverse Cable Curl','Reverse Cable Curl',Reverse_Cable_Curl,matched
'Barbell Overhead Press','Barbell Shoulder Press',Barbell_Shoulder_Press,matched
'Pull-Up','Pullups',Pullups,matched
'Pec Deck','Butterfly',Butterfly,matched
'Machine Tricep Extension','Machine Triceps Extension',Machine_Triceps_Extension,matched
'Barbell Back Squat','Barbell Squat',Barbell_Squat,matched
'Conventional Deadlift','Barbell Deadlift',Barbell_Deadlift,matched
'Tricep Pushdown','Triceps Pushdown',Triceps_Pushdown,matched
'Leg Curl','Lying Leg Curls',Lying_Leg_Curls,matched
'Hack Squat Machine','Hack Squat',Hack_Squat,matched
'Standing Calf Raise','Standing Calf Raises',Standing_Calf_Raises,matched
'Donkey Calf Raise','Donkey Calf Raises',Donkey_Calf_Raises,matched
'Hip Abductor Machine','Thigh Abductor',Thigh_Abductor,matched
'Hip Adductor Machine','Thigh Adductor',Thigh_Adductor,matched
'Leg Press','Leg Press',Leg_Press,matched
'Face Pull','Face Pull',Face_Pull,matched
'Dumbbell Bench Press','Dumbbell Bench Press',Dumbbell_Bench_Press,matched
'Reverse Hyperextension','Reverse Hyperextension',Reverse_Hyperextension,matched
'Decline Push-Up','Decline Push-Up',Decline_Push-Up,matched
'Svend Press','Svend Press',Svend_Press,matched
'Chin-Up','Chin-Up',Chin-Up,matched
'Inverted Row','Inverted Row',Inverted_Row,matched
'One-Arm Dumbbell Row','One-Arm Dumbbell Row',One-Arm_Dumbbell_Row,matched
'Straight-Arm Pulldown','Straight-Arm Pulldown',Straight-Arm_Pulldown,matched
'Trap Bar Deadlift','Trap Bar Deadlift',Trap_Bar_Deadlift,matched
'Dumbbell Shoulder Press','Dumbbell Shoulder Press',Dumbbell_Shoulder_Press,matched
'Seated Dumbbell Press','Seated Dumbbell Press',Seated_Dumbbell_Press,matched
'Reverse Pec Deck','Reverse Machine Flyes',Reverse_Machine_Flyes,matched
'Dumbbell Shrug','Dumbbell Shrug',Dumbbell_Shrug,matched
'Barbell Shrug','Barbell Shrug',Barbell_Shrug,matched
'Barbell Curl','Barbell Curl',Barbell_Curl,matched
'Spider Curl','Spider Curl',Spider_Curl,matched
'Single-Leg Glute Bridge','Single Leg Glute Bridge',Single_Leg_Glute_Bridge,matched
'Smith Machine Calf Raise','Smith Machine Calf Raise',Smith_Machine_Calf_Raise,matched
'Barbell Hip Thrust','Barbell Hip Thrust',Barbell_Hip_Thrust,matched
'Hang Clean','Hang Clean',Hang_Clean,matched
'Cable Crossover','Cable Crossover',Cable_Crossover,matched
'Cable Chest Press','Cable Chest Press',Cable_Chest_Press,matched
'Single-Arm Cable Crossover','Single-Arm Cable Crossover',Single-Arm_Cable_Crossover,matched
'Cable Shoulder Press','Cable Shoulder Press',Cable_Shoulder_Press,matched
'Cable Internal Rotation','Cable Internal Rotation',Cable_Internal_Rotation,matched
'Barbell Glute Bridge','Barbell Glute Bridge',Barbell_Glute_Bridge,matched
'EZ-Bar Skullcrusher','EZ-Bar Skullcrusher',EZ-Bar_Skullcrusher,matched
'Dumbbell Floor Press','Dumbbell Floor Press',Dumbbell_Floor_Press,matched
'Dumbbell Clean','Dumbbell Clean',Dumbbell_Clean,matched
'Dumbbell Side Bend','Dumbbell Side Bend',Dumbbell_Side_Bend,matched
'Dumbbell Incline Row','Dumbbell Incline Row',Dumbbell_Incline_Row,matched
'Lat Pulldown','Wide-Grip Lat Pulldown',Wide-Grip_Lat_Pulldown,matched
'V-Bar Pulldown','V-Bar Pulldown',V-Bar_Pulldown,matched
'Barbell Bench Press','Barbell Bench Press - Medium Grip',Barbell_Bench_Press_-_Medium_Grip,matched
'Romanian Deadlift','Romanian Deadlift',Romanian_Deadlift,matched
'Sumo Deadlift','Sumo Deadlift',Sumo_Deadlift,matched
'Seated Cable Row','Seated Cable Rows',Seated_Cable_Rows,matched
'Decline Barbell Bench Press','Decline Barbell Bench Press',Decline_Barbell_Bench_Press,matched
'Smith Machine Bench Press','Smith Machine Bench Press',Smith_Machine_Bench_Press,matched
'Good Morning','Good Morning',Good_Morning,matched
'Deficit Deadlift','Deficit Deadlift',Deficit_Deadlift,matched
'EZ-Bar Curl','EZ-Bar Curl',EZ-Bar_Curl,matched
'Preacher Curl','Preacher Curl',Preacher_Curl,matched
'Cross-Body Hammer Curl','Cross Body Hammer Curl',Cross_Body_Hammer_Curl,matched
'JM Press','JM Press',JM_Press,matched
'Tate Press','Tate Press',Tate_Press,matched
'Overhead Cable Curl','Overhead Cable Curl',Overhead_Cable_Curl,matched
'Box Squat','Box Squat',Box_Squat,matched
'Seated Leg Curl','Seated Leg Curl',Seated_Leg_Curl,matched
'Russian Twist','Russian Twist',Russian_Twist,matched
'Power Clean','Power Clean',Power_Clean,matched
'Clean and Jerk','Clean and Jerk',Clean_and_Jerk,matched
'Overhead Squat','Overhead Squat',Overhead_Squat,matched
'Barbell Rear Delt Row','Barbell Rear Delt Row',Barbell_Rear_Delt_Row,matched
'Wide-Grip Lat Pulldown','Wide-Grip Lat Pulldown',Wide-Grip_Lat_Pulldown,matched
'Barbell Row',,,unmatched
'Cable Row',,,unmatched
'Dumbbell Curl',,,unmatched
'Low Cable Fly',,,unmatched
'High Cable Fly',,,unmatched
'Rack Pull',,,unmatched
'Snatch-Grip Deadlift',,,unmatched
'Arnold Press',,,unmatched
'Seated Barbell Press',,,unmatched
'Push Press',,,unmatched
'Behind-the-Neck Press',,,unmatched
'Z-Press',,,unmatched
'Smith Shoulder Press',,,unmatched
'Cable Lateral Raise',,,unmatched
'Machine Lateral Raise',,,unmatched
'Rope Hammer Curl',,,unmatched
'Concentration Curl',,,unmatched
'Reverse Curl',,,unmatched
'Donkey Kick',,,unmatched
'Cable Hammer Curl',,,unmatched
'21s Curl',,,unmatched
'Overhead Tricep Extension',,,unmatched
'Rope Tricep Extension',,,unmatched
'Single-Arm Tricep Pushdown',,,unmatched
'Overhead Cable Tricep Extension',,,unmatched
'Bench Dip',,,unmatched
'Pistol Squat',,,unmatched
'Sissy Squat',,,unmatched
'Belt Squat',,,unmatched
'Cyclist Squat',,,unmatched
'Cossack Squat',,,unmatched
'Lateral Lunge',,,unmatched
'Wall Sit',,,unmatched
'Jump Squat',,,unmatched
'Cable Kickback',,,unmatched
'Hanging Knee Raise',,,unmatched
'Toes-to-Bar',,,unmatched
'Captain''s Chair Leg Raise',,,unmatched
'Crunch',,,unmatched
'Decline Sit-Up',,,unmatched
'Weighted Crunch',,,unmatched
'Bicycle Crunch',,,unmatched
'V-Up',,,unmatched
'Bird Dog',,,unmatched
'Cable Incline Fly',,,unmatched
'Cable Decline Fly',,,unmatched
